"Jday","y1","y2","Tsoil","Tair","SWC","PAR","WS","PA","rH","LE","H","SR"
228,0.972623062485624,-0.232388421228523,23.47,20.3,27.1,-19.6788553,0.18598,101.965,95.098,-56.933875,0.594,NA
228.0208333,0.967570930595564,-0.252599474002687,23.39,20.3,27.1,-19.67220873,0.272938,101.942,95.219,-64.0785,-1.0694,NA
228.0416667,0.962098835307345,-0.272700992114531,23.31,19.9,27.1,-19.69543567,0.402763,101.933,95.25,-42.97938,-0.827,NA
228.0625,0.956209204098883,-0.292684058323272,23.23,19.9,27.1,-19.54451466,0.142219,101.932,95.396,-26.35938,0.00474,NA
228.0833333,0.949904567873129,-0.312540096521652,23.15,19.9,27.1,-19.57213759,0.14665,101.927,95.493,-24.531475,-2.256,NA
228.1041667,0.943187629683547,-0.3322605832956,23.08,19.7,27.1,-19.4448732,0.489555,101.933,95.561,-46.4,-0.134,NA
228.125,0.936061369233202,-0.351836770433766,23.01,19.6,27.1,-19.42266188,0.114385,101.948,95.601,-64.1,5.8029,NA
228.1458333,0.928528848141296,-0.37126025665212,22.93,19.3,27.1,-19.33603713,0.285517,101.958,95.667,-46.4,6.7503,NA
228.1666667,0.920593296550236,-0.390522704009343,22.86,19.4,27.1,-19.25984195,0.286276,101.974,95.717,-105.55,1.2333,NA
228.1875,0.912258234752565,-0.409615567485092,22.79,18.7,27.1,-19.21221622,0.408524,101.986,95.783,-55.18525,38.5459,NA
228.2083333,0.903527243128172,-0.428530653425405,22.72,18.9,27.1,-18.44463055,0.34066,102,95.881,-147,118,NA
228.2291667,0.894404066294776,-0.447259841921192,22.65,18.9,27.1,9.359810127,0.373732,102.037,95.942,-27.5050666666667,28.2,NA
228.25,0.884892751387726,-0.465794824511244,22.58,20.8,27.1,142.0753442,1.05643,102.071,95.994,5.8848,9.7439,NA
228.2708333,0.874997383566296,-0.484127647167704,22.53,22.8,27.1,357.5462018,0.353058,102.094,95.635,58.6,12.2,NA
228.2916667,0.864722207300859,-0.502250439721788,22.51,23.7,27.1,590.9213321,0.876649,102.122,94.35,123,32.635975,NA
228.3125,0.854071780765598,-0.520155162715781,22.52,24.7,27.1,869.9059941,1.46362,102.133,87.766,181,65.2,NA
228.3333333,0.84305067794671,-0.537834132808241,22.58,25.4,27.1,1196.540432,1.60449,102.15,79.805,152,43.4,NA
228.3541667,0.831663626592659,-0.55527976030353,22.67,25.8,27.1,1516.963994,1.72513,102.155,76.031,261,72.6,NA
228.375,0.819915678116886,-0.572484306141336,22.77,26.6,27.1,1460.852761,2.06078,102.163,71.635,306,114,NA
